"Node 1","Node 2","OHL Length (km)","Cable Length (km)","Circuit Type","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Winter Rating (MVA)","Autumn Rating (MVA)","Summer Rating (MVA)","Spring Rating (MVA)"
BOTW40,LOVE40,14.8,0,OHL,0.016,0.246,10.03,2780,2570,2220,2570
BRAI4A,BRFO40,48.087,0,OHL,0.051,0.798,32.589,2780,2570,2220,2570
BRAI4A,RAYL40,33.191,0,OHL,0.036,0.551,22.494,2780,2570,2220,2570
BRAI4B,PELH40,65.614,0,OHL,0.07,1.089,44.467,2780,2570,2220,2570
BRAI4B,RAYL40,33.191,0,OHL,0.036,0.551,22.494,2780,2570,2220,2570
BRAW20,BRAW4A,0,0,TRANSFORMER,0.018,1.588,-0.494,1000,1000,1000,1000
BRAW20,ELLA20,16.839,0.081,COMPOSITE,0.076,0.688,5.557,760,760,620,760
BRAW20,KIRK20,17.328,4.547,COMPOSITE,0.086,0.832,54.238,760,760,620,760
BRAW20,MONF22,51.285,0,OHL,0.116,1.8,16.427,1200,1120,1020,1120
BRAW4A,PADI40,60.15,0,OHL,0.07,1.05,39.07,2520,2400,2190,2400
BRED20,MACC20,19.754,0,OHL,0.089,0.804,5.486,955,885,760,885
BRED20,SMAN20,9.221,3.117,COMPOSITE,0.047,0.412,46.616,850,675,675,850
BRED20,STAL22,15.1,0,OHL,0.068,0.615,4.193,1090,1030,925,1030
BRFO40,NORW40,61.513,0.1,COMPOSITE,0.132,1.238,36.564,1590,1470,1350,1500
BRFO40,SIZE40,42.636,0,OHL,0.046,0.708,28.894,2780,2570,2220,2570
BRIM2A,TOTE21,7.43,0.311,COMPOSITE,0.034,0.311,5.444,1090,1030,920,1030
BRIM2A,WALX21,5.859,0,OHL,0.026,0.238,1.627,1090,1030,920,1030
BRIM2B,TOTW22,7.298,0.393,COMPOSITE,0.034,0.308,6.299,1090,1030,920,1030
BRIM2B,WALX21,5.991,0,OHL,0.027,0.244,1.664,1090,1030,920,1030
BRIM2C,TOTE22,7.45,0.235,COMPOSITE,0.034,0.31,4.623,1090,1030,920,1030
BRIM2C,WALX22,5.967,0,OHL,0.027,0.243,1.657,1090,1030,920,1030
BRIM2D,TOTW21,7.45,0.384,COMPOSITE,0.034,0.314,6.243,1090,1030,920,1030
BRIM2D,WALX22,5.967,0,OHL,0.027,0.243,1.657,1090,1030,920,1030
BRIN21,CHTE20,22.322,0.22,COMPOSITE,0.051,0.788,9.5,935,755,755,935
BRIN21,JORD20,13.229,1.489,COMPOSITE,0.064,0.569,16.12,557,557,557,557
BRIN21,NORL2A,13.229,2.845,COMPOSITE,0.07,0.586,24.897,420,380,380,380
BRIN21,TEMP21,2.904,0,OHL,0.013,0.119,0.801,955,885,760,885
BRIN21,TEMP22,2.904,0,OHL,0.013,0.119,0.801,955,885,760,885
BRIN22,BRIN40,0,0,TRANSFORMER,0.014,1.677,-0.614,1000,1000,1000,1000
BRIN22,CHTE20,22.225,0,OHL,0.05,0.781,7.115,1200,1120,1020,1120
BRIN22,THUR20,5.7,0,OHL,0.06,0.228,1.604,625,590,535,590
BRIN22,TINP2A,3.187,0,OHL,0.014,0.13,0.885,685,685,685,685
BRIN22,TINP2B,3.187,0,OHL,0.014,0.13,0.885,685,685,685,685
BRIN2M,BRIN40,0,0,TRANSFORMER,0.015,1.61,1.41,1000,1000,1000,1000
BRIN40,FENW4A,44.606,0,OHL,0.053,0.758,29.666,2010,1910,1750,1910
BRIN40,THOM40,37.166,0,OHL,0.04,0.619,25.11,2520,2400,2190,2400
BRLE40,DIDC42,41.648,2.85,COMPOSITE,0.046,0.707,142.225,2200,1960,1960,2200
BRLE40,FLEE40,17.59,0,OHL,0.019,0.292,11.921,2780,2570,2220,2570
BRLE40,FLEE40,17.59,0,OHL,0.019,0.292,11.921,2780,2570,2220,2570
BRLE40,MELK40,81.82,0,OHL,0.172,1.571,48.11,1390,1280,1110,1280
BRLE40,WWEY4A,49.633,0,OHL,0.104,0.953,29.184,1390,1280,1110,1280
BRLE40,WWEY4B,49.633,0,OHL,0.104,0.953,29.184,1390,1280,1110,1280
BRWA2A,HINP22,18.273,0.61,COMPOSITE,0.083,0.761,11.705,240,240,240,240
