Table B-18 Characteristics of Grid Transformers Expected in 2009,,,,,,
Station / Transformer,Rating (MVA),HV/LV (kV),Impedance p.u. on 100 MVA,,Voltage Ratio Tapping Range,
,,,R,X,+,-
CP241,,,,,,
Lodgewood T2101,250,220/110,0.001,0.064,10%,18%
CP399,,,,,,
Tarbert T4201,500,400/220,0,0.027,11%,8%
