Table B-4 Characteristics of Existing 220 kV Lines and Cables,,,,,,,,
220 kV Circuits,,,Length (km),Impedance p.u. on 100 MVA,,,Rating (MVA),
From,To,No.,,R,X,B,Summer,Winter
AD,KRA,1,25.6,0.003,0.022,0.034,431,518
AD,KRA,2,25.6,0.003,0.022,0.034,431,518
ARK,CKM,1,53.3,0.006,0.046,0.07,431,518
ARK,GI,1,87.8,0.01,0.076,0.115,431,518
CDU,FIN,1,3.7,0.001,0.003,0.005,431,518
CDU,FIN,2,3.7,0.001,0.003,0.005,431,518
CDU,WOO,1,18.4,0.002,0.016,0.024,431,518
CDU,WOO,2,17.8,0.002,0.016,0.023,431,518
CKM,DSN,1,41.6,0.005,0.036,0.054,431,518
CKM,ISH,1,11.7,0,0.005,0.32,593,593
CKM,PB,1,14.5,0.001,0.005,0.618,267,267
CLA,KRA,1,45,0.005,0.039,0.059,431,518
CLA,TB,1,97.3,0.011,0.084,0.127,431,518
CSH,FLA,1,88.1,0.01,0.076,0.115,431,518
CSH,PRO,1,88.5,0.01,0.077,0.116,431,518
CSH,TYN,1,33.8,0.004,0.029,0.044,431,518
CUL,GI,1,23,0.003,0.02,0.03,229,438
CUL,KRA,1,86,0.01,0.075,0.113,431,518
DSN,KLS,1,59.3,0.007,0.051,0.077,431,518
DSN,MAY,1,36.3,0.004,0.032,0.048,431,518
DSN,MAY,2,30.6,0.004,0.027,0.04,431,518
DSN,TH,1,26.6,0.003,0.022,0.144,351,351
FIN,HN,1,1.4,0,0.001,0.038,570,570
FIN,NW,1,11.9,0.001,0.004,0.68,332,332
FIN,SHL,1,13.4,0.001,0.005,0.367,572,572
FLA,LOU,1,110.08,0.013,0.095,0.144,431,518
GI,KLS,1,69.3,0.008,0.06,0.091,431,518
GOR,LOU,1,35,0.004,0.03,0.046,431,518
GOR,MAY,1,44,0.005,0.038,0.058,431,518
INC,ISH,1,11,0,0.004,0.301,593,593
INC,MAY,1,19.1,0.002,0.017,0.025,431,518
INC,MAY,2,19.1,0.002,0.017,0.025,431,518
INC,PB,1,12.5,0.001,0.004,0.504,267,267
INC,PB,2,11.3,0.001,0.003,0.722,351,351
ISH,SHL,1,1.1,0,0.001,0.03,548,548
KLN,KRA,1,82.4,0.013,0.073,0.105,286,467
KLN,SH,1,89.7,0.014,0.08,0.115,286,370
KLN,TB,1,70.6,0.008,0.061,0.092,431,518
KRA,RAF,1,23.4,0.003,0.02,0.031,431,518
LOU,WOO,1,61.2,0.007,0.053,0.08,431,518
MAY,SH,1,105.6,0.017,0.094,0.135,286,370
MAY,TH,1,53.1,0.006,0.044,0.184,351,351
MAY,WOO,1,22.5,0.003,0.02,0.03,431,518
MP,PRO,1,12.7,0.001,0.009,0.021,825,992
NW,PB,1,4.5,0,0.001,0.261,332,332
OST,TYN,1,14.5,0.002,0.013,0.019,431,518
PB,SHL,1,0.6,0,0.001,0.012,250,250
PRO,TB,1,10.3,0.001,0.007,0.173,381,381
