Table C-2 Demand Forecasts at Time of Summer Peak,,,,,,,,,
Bus,Bus Name,Power,Demand Forecast (MW),,,,,,
MAC,Macroom,0.85,15.6,7.9,8.1,8.5,8.8,9.2,9.5
MAL,Mallow,0.92,16.7,17.3,17.7,18.5,19.3,20,20.6
MCE,Macetown,0.95,32.8,33.8,34.6,35.9,37.1,38.3,39.4
MID,Midleton,0.91,32.3,33.4,34.3,35.8,37.3,38.7,40
MLN,Mullagharlin,0.95,7.6,7.6,7.6,7.6,7.6,7.6,7.6
MON,Monread,0.95,2.1,2.2,2.2,2.3,2.4,2.5,2.6
MOY,Moy,0.96,24.6,25.4,26.1,27.3,28.4,29.4,30.4
MR,Marina,0.95,21.7,22.5,23.1,24.1,25.1,26,26.9
MTH,Meath Hill,0.92,33.9,35.1,36,37.6,39.2,40.6,42
MUL,Mullingar,0.92,39.2,40.5,41.6,43.4,45.2,46.9,48.4
MUN,Mungret,0.95,25.7,25.7,25.7,25.7,25.7,25.7,25.7
NAN,Nangor,0.95,26,26,26,26,26,26,26
NAV,Navan,0.93,44.6,46.2,47.4,49.5,51.5,53.4,55.2
NEN,Nenagh,0.95,-,26.2,26.9,28.1,29.3,30.4,31.4
NEW,Newbridge,0.93,42.8,44.3,38.2,39.9,41.5,43.1,44.5
OLD,Oldcourt,0.94,0.3,0.3,0.3,0.3,0.3,0.3,0.3
OUG,Oughtragh,0.93,27.8,28.8,29.5,30.9,32.1,33.3,34.4
PLA,Platin,0.95,31.8,31.8,31.8,31.8,31.8,31.8,31.8
PLS,Portlaoise,0.93,34.2,28.4,29.1,30.5,31.7,32.9,33.9
RAT,Rathkeale,0.91,23.5,24.3,24.9,26,27.1,28.1,29
RIC,Richmond,0.92,31.6,32.7,33.5,35,36.5,37.8,39.1
RNW,Rinawade,0.95,15.2,15.2,15.2,15.2,15.2,15.2,15.2
RSY,Ringaskiddy,0.95,1.7,1.7,1.8,1.9,1.9,2,2.1
RYB,Ryebrook,0.95,81,81,81,81,81,81,81
SHE,Shelton Abbey,0.88,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SKL,Shankill,0.91,62.5,55.5,57,59.5,61.9,64.2,66.3
SLI,Sligo,0.93,45.1,46.6,47.8,50,52,53.9,55.7
SOM,Somerset,0.94,24.6,25.4,26.1,27.3,28.4,29.4,30.4
STR,Stratford,0.94,13.6,14,14.4,15.1,15.7,16.3,16.8
SVN,Stevenstown,0.95,-,12,12.3,12.8,13.4,13.9,14.3
TBG,Trabeg,0.98,53.3,55.2,56.6,59.1,61.5,63.8,65.9
TBK,Tullabrack,0.96,13.5,14,14.3,15,15.6,16.2,16.7
THU,Thurles,0.94,33.4,34.5,35.4,37,38.5,40,41.3
TIP,Tipperary,0.91,15.8,16.4,16.8,17.6,18.3,19,19.6
TLK,Trillick,0.95,14.4,14.9,15.3,16,16.6,17.2,17.8
TON,Tonroe,0.93,17.2,17.8,18.3,19.1,19.8,20.6,21.3
TRI,Trien,0.92,27.7,28.7,29.4,30.7,32,33.2,34.3
TRL,Tralee,0.97,40.1,41.4,42.5,44.4,46.2,48,49.5
TSB,Thornsberry,0.91,33.4,34.5,35.4,37,38.5,40,41.3
WAT,Waterford,0.95,43.3,44.8,46,48,30.4,31.6,32.6
WEX,Wexford,0.93,45.2,46.7,48,50.1,52.1,54.1,55.8
WHI,Whitegate,0.95,7,7,7,7,7,7,7
CKM,Carrickmines,0.95,170.8,176.7,181.4,189.4,197.1,204.4,211.2
FIN,Finglas,0.95,268.6,277.9,306.1,318.9,331,342.4,353.1
INC,Inchicore,0.95,200.3,207.2,212.7,222.2,231.2,239.7,247.7
PB,Poolbeg,0.92,189.6,195.7,200.5,208.8,216.8,224.3,231.3
TOTAL,,,3910,4084,4227,4403,4562,4713,4853
