Table B-17 Characteristics of Grid Transformers Expected in 2007,,,,,,
Station / Transformer,Rating (MVA),HV/LV (kV),Impedance p.u. on 100 MVA,,Voltage Ratio Tapping Range,
,,,R,X,+,-
CP211,,,,,,
Srananagh T2101,250,220/110,0.001,0.064,10%,18%
CP405,,,,,,
Cashla T2104,175,220/110,0.002,0.133,23%,18%
