Table C-1 Demand Forecasts at Time of Winter Peak,,,,,,,,,
Bus,Bus Name,Power,Demand Forecast (MW),,,,,,
MAC,Macroom,0.86,7.6,7.9,8.1,8.5,8.9,9.2,9.5
MAL,Mallow,0.96,23.9,24.6,25.5,26.7,27.7,28.7,29.6
MCE,Macetown,0.95,34.8,35.8,36.9,38.3,39.7,40.9,42.1
MID,Midleton,0.95,42.2,43.5,45.1,47.1,49,50.8,52.4
MLN,Mullagharlin,0.95,7.6,7.6,7.6,7.6,7.6,7.6,7.6
MON,Monread,0.95,12,12.4,12.8,13.4,13.9,14.4,14.9
MOY,Moy,0.97,34.9,36,37.3,39,40.6,42,43.4
MR,Marina,0.96,23.8,24.5,25.4,26.6,27.6,28.6,29.6
MTH,Meath Hill,0.92,36.4,37.5,38.9,40.7,42.3,43.8,45.2
MUL,Mullingar,0.95,52.3,53.9,55.9,58.4,60.7,62.9,64.9
MUN,Mungret,0.95,25.7,25.7,25.7,25.7,25.7,25.7,25.7
NAN,Nangor,0.95,26,26,26,26,26,26,26
NAV,Navan,0.95,75.8,78.1,80.9,84.6,88,91.1,94.1
NEN,Nenagh,0.95,30.2,31.1,32.2,33.7,35,36.3,37.5
NEW,Newbridge,0.95,54.9,48.2,50,52.3,54.3,56.3,58.1
OLD,Oldcourt,0.94,0.3,0.3,0.3,0.3,0.3,0.3,0.3
OUG,Oughtragh,0.95,25.8,26.6,27.6,28.9,30,31.1,32.1
PLA,Platin,0.95,15.9,31.8,31.8,31.8,31.8,31.8,31.8
PLS,Portlaoise,0.95,48.7,50.2,52,54.4,56.5,58.6,60.5
RAT,Rathkeale,0.93,28.6,29.5,30.5,31.9,33.2,34.4,35.5
RIC,Richmond,0.95,33.8,34.9,36.1,37.8,39.3,40.7,42
RNW,Rinawade,0.95,15.2,15.2,15.2,15.2,15.2,15.2,15.2
RSY,Ringaskiddy,0.95,3.9,4,4.2,4.4,4.6,4.7,4.9
RYB,Ryebrook,0.95,81,81,81,81,81,81,81
SHE,Shelton Abbey,0.88,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SKL,Shankill,0.92,59.2,61,63.2,66.1,68.7,71.2,73.5
SLI,Sligo,0.94,62.2,64.2,66.5,69.5,72.3,74.9,77.3
SOM,Somerset,0.94,32.1,33.1,34.3,35.9,37.3,38.6,39.9
STR,Stratford,0.96,25.2,26,26.9,28.1,29.3,30.3,31.3
SVN,Stevenstown,0.95,13.8,14.2,14.7,15.4,16,16.6,17.1
TBG,Trabeg,1,76.5,78.9,81.8,85.5,88.9,92.1,95.1
TBK,Tullabrack,1,12.5,12.9,13.3,14,14.5,15,15.5
THU,Thurles,1,33.3,34.4,35.6,37.2,38.7,40.1,41.4
TIP,Tipperary,1,15.9,16.4,17,17.7,18.4,19.1,19.7
TLK,Trillick,1,22.5,23.2,24,25.1,26.1,27.1,27.9
TON,Tonroe,1,14.7,15.1,15.7,16.4,17.1,17.7,18.2
TRI,Trien,1,24.2,25,25.9,27.1,28.1,29.1,30.1
TRL,Tralee,1,52.6,54.2,56.2,58.8,61.1,63.3,65.3
TSB,Thornsberry,1,38.5,39.7,41.1,43,44.7,46.3,47.8
WAT,Waterford,1,50.2,51.7,53.6,56,34.9,36.2,37.3
WEX,Wexford,1,61,62.9,65.2,68.2,70.9,73.4,75.8
WHI,Whitegate,0.95,7,7,7,7,7,7,7
CKM,Carrickmines,0.98,254,278.3,288.3,301.5,313.4,324.7,335.2
FIN,Finglas,0.97,400.1,379.9,414.4,432.5,448.7,464.1,478.4
INC,Inchicore,0.97,233.1,240.4,249,260.4,270.7,280.4,289.5
PB,Poolbeg,0.97,205.4,211.4,218.5,227.9,236.4,244.4,251.9
TOTAL,,,4876,5075,5271,5490,5687,5874,6048
