Table B-16 Changes in Circuit Characteristics Expected in 2012,,,,,,,,,,
Change,Volt (kV),From,To,No.,Length (km),Impedance p.u. on 100 (MVA),,,Rating (MVA),
,,,,,,R,X,B,Summer,Winter

CP196 Connection of Kilmurry 110 kV Station,,,,,,,,,,
Add,110,GI,KMY,1,7,0.011,0.024,0.002,107,126
Add,110,KKY,KMY,1,47,0.073,0.162,0.015,107,126
Delete,110,GI,KKY,1,…,…,…,…,…,…

CP466 Construction of 2nd Cross-Border Circuit to Northern Ireland,,,,,,,,,,
Add,400,MCV,TLE,1,82,0.002,0.018,0.414,1424,1713
Add,400/220,MCV,MCV,1,…,0,0.027,…,500,500
Add,220,FLA,MCV,1,90,0.011,0.078,0.118,431,518
Add,220,MCV,LOU,1,20,0.002,0.017,0.026,431,518
Delete,220,FLA,LOU,1,…,…,…,…,…,…

CP469 Construction of 400 kV Line from Woodland 400 kV Station to Mid-Cavan,,,,,,,,,,
Add,400,MCV,WOO,1,60,0.001,0.013,0.293,1424,1713
