"PSSE Bus No.","PSSE Name",Voltage,"Forecast Statement Code","Forecast Statement Name",Comment
52074,"'TURLG4  '",10.5,,,"Generator Transformer Dummy Bus"
52081,"'TURLS1  '",10.5,,,"10.5kV Dummy bus"
52082,"'TURLS2  '",10.5,,,"10.5kV Dummy bus"
52204,'TULABRAC',38,,,"110/38kV Transformer LV Bus"
52219,"'TULBRK T'",110,,,"Tee Point Dummy Bus"
52604,"'TRIEN   '",38,,,"110/38kV Transformer LV Bus"
52661,'TRIE_CAP',110,,,"Reactive Compensation Device Dummy Bus"
52804,"'TRALEE  '",38,,,"110/38kV Transformer LV Bus"
52861,'TRAL_CAP',110,,,"Reactive Compensation Device Dummy Bus"
53004,"'THURLES '",38,,,"110/38kV Transformer LV Bus"
53061,'THUR_CAP',110,,,"Reactive Compensation Device Dummy Bus"
53204,'THORNSBE',38,,,"110/38kV Transformer LV Bus"
53404,"'TONROE  '",38,,,"110/38kV Transformer LV Bus"
53604,'TRILLICK',38,,,"110/38kV Transformer LV Bus"
53804,'TIPPERAR',38,,,"110/38kV Transformer LV Bus"
54404,'WATERFOR',38,,,"110/38kV Transformer LV Bus"
54621,"'WOOD    '",17.5,,,"Transformer Tertiary Winding Dummy Bus"
54801,'WHITEGAT',10,,,"110/10kV Transformer LV Bus"
55002,"'WEXFORD '",20,,,"110/20kV Transformer LV Bus"
55004,"'WEXFORD '",38,,,"110/38kV Transformer LV Bus"
55061,'WEXF_CAP',110,,,"Reactive Compensation Device Dummy Bus"
55201,"'WOLFE TO'",10,,,"110/10kV Transformer LV Bus"
79016,'ENNK_PST',110,"EKN *",Enniskillen,"NIE Bus"
89516,'STRA_PST',110,"SBN *",Strabane,"NIE Bus"
90020,'TANDRAGE',275,"TAN *",Tandragee,"NIE Bus"
