"Site Name","Site Code","Voltage (kV)","Demand Tariff Zone","Generation Tariff Zone","LV Shunt Susceptance"
Ravenscraig,RAVE,33,2,7,0
Ravenscraig,RAVE,275,2,7,0
Redhouse,REDH,33,2,6,0
Redhouse,REDH,132,2,6,0
Saltcoats,SACO,33,2,7,0
Saltcoats,SACO,132,2,7,0
"Sell Moor",SELM,132,2,7,0
Shrubhill,SHRU,33,2,7,0
Shrubhill,SHRU,275,2,7,0
Sighthill,SIGH,33,2,7,0
Sighthill,SIGH,275,2,7,0
Smeaton,SMEA,132,2,7,0
Smeaton,SMEA,275,2,7,0
Smeaton,SMEA,400,2,7,0
"Spango Valley",SPAV,33,2,5,0
"Spango Valley",SPAV,132,2,5,0
"St Andrews Cross",SANX,33,2,7,0
"St Andrews Cross",SANX,132,2,7,0
"Stella West Border Node",STWB,400,2,7,0
Stirling,STIR,33,2,6,0
Stirling,STIR,132,2,6,0
Strathaven,STHA,33,2,7,0
Strathaven,STHA,275,2,7,0
Strathaven,STHA,400,2,7,0
Strathleven,STLE,33,2,5,0
Strathleven,STLE,132,2,5,0
"Telford Road",TELR,33,2,7,0
"Telford Road",TELR,132,2,7,0
Toddleburn,TODD,33,2,7,0
Tongland,TONG,132,2,7,0
Ulzieside,ULZI,33,2,7,0
"Waterhead Moor",WAMR,33,2,5,0
"Waterhead Moor",WAMR,132,2,5,0
"West George Street",WGEO,33,2,6,0
"West George Street",WGEO,275,2,6,0
Westfield,WFIE,33,2,6,0
Westfield,WFIE,132,2,6,0
Westfield,WFIE,275,2,6,0
Whistlefield,WHTL,33,2,5,0
Whistlefield,WHTL,132,2,5,0
Whitehouse,WHHO,33,2,7,0
Whitehouse,WHHO,275,2,7,0
Windyhill,WIYH,132,2,5,0
Windyhill,WIYH,275,2,5,0
Windyhill,WIYH,400,2,5,0
"Wishaw (Gowkthrapple)",WISH,33,2,7,0
"Wishaw (Gowkthrapple)",WISH,132,2,7,0
"Wishaw (Gowkthrapple)",WISH,275,2,7,0
"Black Craig 40MW Wind Farm",BLCW,33,2,7,0
"Black Craig 40MW Wind Farm",BLCW,132,2,7,0
"Crystal Rigg Duns",CRYR,33,2,7,0
"Crystal Rigg Duns",CRYR,132,2,7,0
"Crystal Rigg Duns",CRYR,400,2,7,0
"Ewe Hill",EWEH,33,2,7,0
"Ewe Hill",EWEH,132,2,7,0
"Gareloch Border Node",GARB,132,2,5,0
"Grangemouth CHP",BPGR,33,2,6,0
Longpark,LOPA,33,2,7,0
Longpark,LOPA,132,2,7,0
Margree,MARG,33,2,7,0
Margree,MARG,132,2,7,0
Newfield,NEWF,33,2,7,0
Newfield,NEWF,132,2,7,0
Torness,TORN,132,2,7,0
Torness,TORN,400,2,7,0
"Westfield Border Node",WFIB,275,2,6,0
"Whistlefield Border Node",WHTB,132,2,5,0
Whitelee,WLEE,33,2,7,0
Whitelee,WLEE,275,2,7,0
